  IBGE / SINAN — Municípios Notificadores  |  Brasil (Dados Fictícios);;;;;;;;;;;;;
COD_IBGE;MUNICIPIO;UF;ESTADO;REGIAO;POPULACAO;AREA_KM2;DENSIDADE_HAB_KM2;TOTAL_CASOS;CASOS_GRAVES;OBITOS;INCIDENCIA_100K;TX_LETALIDADE_PCT;ANO_REF
2960284;Contagem;MG;Minas Gerais;SE;5.263.791;710,2;7.411,7;65.432;4.076;139;1.243,1;0,21%;2004
8215646;Anápolis;GO;Goiás;CO;4.754.702;13.546,8;351,0;80.338;4.802;179;1.689,7;0,22%;2008
8311097;Santarém;PA;Pará;N;2.775.969;4.767,4;582,3;50.048;3.353;81;1.802,9;0,16%;2015
1892920;Canoas;RS;Rio Grande do Sul;S;3.177.550;2.271,9;1.398,6;12.002;145;2;377,7;0,02%;2007
8322078;Rio Verde;GO;Goiás;CO;1.954.560;14.928,3;130,9;2.673;97;3;136,8;0,11%;2015
8679933;Marabá;PA;Pará;N;8.278.975;1.731,7;4.780,8;38.811;676;5;468,8;0,01%;2023
4030887;Blumenau;SC;Santa Catarina;S;2.831.521;11.261,6;251,4;36.912;2.342;59;1.303,6;0,16%;2008
9825074;Manaus;AM;Amazonas;N;9.584.230;2.749,5;3.485,8;64.528;3.619;103;673,3;0,16%;2002
1435572;Pelotas;RS;Rio Grande do Sul;S;4.777.447;10.235,6;466,7;15.989;538;13;334,7;0,08%;2021
3579924;Nova Iguaçu;RJ;Rio de Janeiro;SE;492.433;1.261,9;390,2;7.861;292;11;1.596,4;0,14%;2022
6526866;Manaus;AM;Amazonas;N;743.630;9.859,8;75,4;5.323;355;14;715,8;0,26%;2014
3169632;Santa Maria;RS;Rio Grande do Sul;S;3.554.147;12.956,0;274,3;37.087;1.089;7;1.043,5;0,02%;2020
7398678;Petrópolis;RJ;Rio de Janeiro;SE;1.560.748;6.012,9;259,6;7.866;534;18;504,0;0,23%;2005
4493397;Rio de Janeiro;RJ;Rio de Janeiro;SE;2.741.691;5.858,1;468,0;18.673;911;34;681,1;0,18%;2012
6008781;Belo Horizonte;MG;Minas Gerais;SE;8.243.014;12.026,5;685,4;81.291;5.220;136;986,2;0,17%;2023
7164902;Recife;PE;Pernambuco;NE;8.608.893;3.038,1;2.833,6;101.735;3.925;96;1.181,7;0,09%;2014
8088983;Fortaleza;CE;Ceará;NE;6.185.975;9.227,3;670,4;82.665;2.939;18;1.336,3;0,02%;2013
4761958;Petrolina;PE;Pernambuco;NE;10.873.103;10.309,2;1.054,7;129.845;5.406;149;1.194,2;0,11%;2004
8855414;Nova Iguaçu;RJ;Rio de Janeiro;SE;7.345.608;1.233,8;5.953,6;78.746;1.489;14;1.072,0;0,02%;2015
5171713;Pelotas;RS;Rio Grande do Sul;S;8.784.028;6.444,6;1.363,0;12.511;538;19;142,4;0,15%;2018
9567311;Belém;PA;Pará;N;7.136.865;6.224,6;1.146,6;66.422;2.080;53;930,7;0,08%;2014
1272943;Cascavel;PR;Paraná;S;1.919.520;11.120,7;172,6;11.767;672;23;613,0;0,20%;2014
7983542;São Paulo;SP;São Paulo;SE;11.825.511;4.499,8;2.628,0;189.817;7.080;201;1.605,1;0,11%;2018
